max_len,epochs,batch_size,embedding_input,embedding_dim,hidden_layers,hidden_neuron,lr,dropout,optimizer,losses,activation,last_activation,loss,acc,precision,recall,f1score,val_loss,val_acc,val_precision,val_recall,val_f1score
11,10,32,onehot,0,0,64,0.0002,0.1,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,none,sigmoid,0.68774132968406,0.55242234,0.5539438,0.5360577,0.5431049,0.689816117286682,0.567708313465118,0.568114399909973,0.559523820877075,0.562556922435761
5,1,16,onehot,0,1,16,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7f61b3023598>,<function relu at 0x7f61b2ff4d90>,sigmoid,0.71265880899795,0.49612832,0.48561934,0.2931416,0.3544851,0.671729564666748,0.517857134342194,0.517764925956726,0.412202388048172,0.455752819776535
5,2,16,onehot,0,1,16,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7f61b3023598>,<function relu at 0x7f61b2ff4d90>,sigmoid,0.692758066815964,0.5295907,0.5311218,0.50995576,0.5171907,0.663030743598938,0.569196403026581,0.568196415901184,0.592261910438538,0.578171372413635
5,3,16,onehot,0,1,16,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7f61b3023598>,<function relu at 0x7f61b2ff4d90>,sigmoid,0.682521417253489,0.5642515,0.5625168,0.58314896,0.5704481,0.65803724527359,0.588541686534882,0.582216203212738,0.622023820877075,0.600320219993591
5,4,16,onehot,0,1,16,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7f61b3023598>,<function relu at 0x7f61b2ff4d90>,sigmoid,0.673818958368273,0.58388644,0.5824986,0.6008481,0.59005034,0.657440662384033,0.594494044780731,0.589018404483795,0.61904764175415,0.602344751358032
5,5,16,onehot,0,1,16,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7f61b3023598>,<function relu at 0x7f61b2ff4d90>,sigmoid,0.667764324530036,0.5942109,0.59211487,0.6073009,0.5984769,0.660229086875916,0.59375,0.589838325977325,0.616071403026581,0.601715087890625
5,6,16,onehot,0,1,16,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7f61b3023598>,<function relu at 0x7f61b2ff4d90>,sigmoid,0.662855553591849,0.6039823,0.60187054,0.6141224,0.606969,0.66807222366333,0.598214268684387,0.594777643680573,0.613095223903656,0.603288412094116
5,7,16,onehot,0,1,16,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7f61b3023598>,<function relu at 0x7f61b2ff4d90>,sigmoid,0.657570691411122,0.61237097,0.6099485,0.62684363,0.6174076,0.674229443073273,0.595238089561462,0.592588543891907,0.611607134342194,0.601489186286926
5,8,16,onehot,0,1,16,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7f61b3023598>,<function relu at 0x7f61b2ff4d90>,sigmoid,0.655823418612325,0.6077618,0.606604,0.6163348,0.61057496,0.680567860603333,0.596726179122925,0.595152497291565,0.608630955219269,0.601460754871368
5,9,16,onehot,0,1,16,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7f61b3023598>,<function relu at 0x7f61b2ff4d90>,sigmoid,0.652671665744444,0.6163348,0.6142905,0.62850296,0.62057614,0.682910084724426,0.602678596973419,0.601341962814331,0.617559552192688,0.608944058418274
5,10,16,onehot,0,1,16,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7f61b3023598>,<function relu at 0x7f61b2ff4d90>,sigmoid,0.64973103226462,0.61762536,0.6156637,0.62905604,0.6217342,0.687035322189331,0.607142865657806,0.603841722011566,0.622023820877075,0.612292945384979
11,1,128,onehot,0,1,32,0.0005,0.2,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.702777064981915,0.5341332,0.535335,0.5186012,0.5263743,0.68907618522644,0.55859375,0.556873202323914,0.5703125,0.563301086425781
,1,128,onehot,0,1,128,0.0002,0.1,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7f61b3023598>,<function relu at 0x7f61b2ff4d90>,sigmoid,0.690398290043786,0.5326451,0.5267953,0.65811014,0.58444834,0.680771946907043,0.573437511920929,0.56519615650177,0.635937511920929,0.597895443439484
,2,128,onehot,0,1,128,0.0002,0.1,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7f61b3023598>,<function relu at 0x7f61b2ff4d90>,sigmoid,0.679660080444245,0.5752418,0.57037216,0.61644346,0.59198505,0.668861091136932,0.614843726158142,0.60838770866394,0.643750011920929,0.625030279159546
,3,128,onehot,0,1,128,0.0002,0.1,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7f61b3023598>,<function relu at 0x7f61b2ff4d90>,sigmoid,0.669531248864673,0.61067706,0.607527,0.62834823,0.617346,0.65850830078125,0.632031261920929,0.626234412193298,0.654687523841858,0.639866948127747
,4,128,onehot,0,1,128,0.0002,0.1,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7f61b3023598>,<function relu at 0x7f61b2ff4d90>,sigmoid,0.660310301042738,0.63383555,0.63227165,0.64025295,0.63603055,0.648912012577057,0.651562511920929,0.647582828998566,0.665624976158142,0.656221151351929
