max_len,embedding_input,embedding_dim,epochs,batch_size,hidden_neuron,lr,dropout,optimizer,losses,last_activation,loss,acc,precision,recall,f1score,val_loss,val_acc,val_precision,val_recall,val_f1score
10,onehot,0,1,256,32,0.01,0.1,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.9982096315712057,0.49252352,0.5862985,0.21299563,0.3037086,0.9425408840179443,0.5372869372367859,0.6421032547950745,0.3100142180919647,0.4178023040294647
10,onehot,0,2,256,32,0.01,0.1,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.9077483684785904,0.5704385,0.6584688,0.39138106,0.48951277,0.9709150791168213,0.5333806872367859,0.617621898651123,0.3110795319080353,0.41358092427253723
10,onehot,0,3,256,32,0.01,0.1,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.8623424473629203,0.5965642,0.6729329,0.4469926,0.5364269,1.0030598640441895,0.5209516882896423,0.5732100605964661,0.3924005627632141,0.4657666087150574
10,onehot,0,4,256,32,0.01,0.1,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.8149570002350756,0.6181536,0.69566786,0.48643312,0.57173437,1.0277711153030396,0.5245028138160706,0.5706689357757568,0.40305396914482117,0.47230586409568787
10,onehot,0,5,256,32,0.01,0.1,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.7592592194516171,0.65024364,0.7197703,0.5375084,0.61490536,1.0291640758514404,0.5142045617103577,0.5681076645851135,0.3849431872367859,0.4585430920124054
10,onehot,0,6,256,32,0.01,0.1,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.6923224419675847,0.6835517,0.75127846,0.5839214,0.65656364,1.0853973627090454,0.5237926244735718,0.5549150705337524,0.4272017180919647,0.4826715290546417
10,onehot,0,7,256,32,0.01,0.1,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.624335882484272,0.71875,0.7817005,0.6340726,0.6999111,1.126758337020874,0.5106534361839294,0.5409873127937317,0.4140625,0.46902987360954285
10,onehot,0,8,256,32,0.01,0.1,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.5530348868780238,0.7548303,0.8154462,0.6815776,0.7422019,1.2472294569015503,0.5014204382896423,0.5253434181213379,0.4193892180919647,0.46636056900024414
10,onehot,0,9,256,32,0.01,0.1,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.49010441796753995,0.78675234,0.8422745,0.7253024,0.779225,1.5820940732955933,0.5102983117103577,0.5277077555656433,0.4669744372367859,0.4954129159450531
10,onehot,0,10,256,32,0.01,0.1,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.43549646965919003,0.80859375,0.85797375,0.76306283,0.80756843,1.6297789812088013,0.5046164989471436,0.5166444778442383,0.4371448755264282,0.47354456782341003
20,onehot,0,1,256,16,0.01,0,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.014544669017997,0.4624916,0.5508922,0.18939012,0.2762948,0.9729672074317932,0.5067471861839294,0.6331541538238525,0.25887784361839294,0.36710450053215027
20,onehot,0,2,256,16,0.01,0,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.9359413654573502,0.54456484,0.66456914,0.31817037,0.4275967,0.944385290145874,0.5202414989471436,0.6353991031646729,0.27627840638160706,0.38487282395362854
20,onehot,0,3,256,16,0.01,0,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.8874886567874621,0.58522344,0.6744634,0.42447916,0.51917547,0.9897501468658447,0.5227272510528564,0.5718039274215698,0.3852982819080353,0.46018579602241516
20,onehot,0,4,256,16,0.01,0,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.8550021866316436,0.6047967,0.68300384,0.47009408,0.5560316,0.972383439540863,0.5266335010528564,0.5721420645713806,0.3845880627632141,0.4597996473312378
20,onehot,0,5,256,16,0.01,0,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.8220041503188431,0.62260586,0.6998469,0.49462366,0.5785954,0.9851231575012207,0.5113636255264282,0.5644614696502686,0.38600853085517883,0.45833146572113037
20,onehot,0,6,256,16,0.01,0,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.793890655040741,0.6362567,0.7183753,0.51037467,0.59583604,1.0371217727661133,0.5174005627632141,0.5539346933364868,0.3980823755264282,0.46299317479133606
20,onehot,0,7,256,16,0.01,0,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.7589781284332275,0.65696406,0.73325723,0.5404486,0.6214259,1.0515327453613281,0.5181108117103577,0.5563809871673584,0.39559659361839294,0.4622316360473633
20,onehot,0,8,256,16,0.01,0,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.7282803507261378,0.67279905,0.75059295,0.55808973,0.6394861,1.1097619533538818,0.5120738744735718,0.555554211139679,0.40625,0.4691980183124542
20,onehot,0,9,256,16,0.01,0,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.6869487647087343,0.69459844,0.7681595,0.593582,0.6690806,1.1589268445968628,0.4943181872367859,0.5339570641517639,0.3575994372367859,0.4281156361103058
20,onehot,0,10,256,16,0.01,0,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.6526891967301728,0.71173555,0.7881078,0.6181536,0.6923968,1.2650458812713623,0.5042613744735718,0.5298763513565063,0.4389204680919647,0.4800681173801422
20,onehot,0,11,256,16,0.01,0,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.6040014451549899,0.7308888,0.8048651,0.64289314,0.71442693,1.2615342140197754,0.4886363744735718,0.5288212895393372,0.37961646914482117,0.44171494245529175
20,onehot,0,12,256,16,0.01,0,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.5750797243528468,0.74781585,0.8152904,0.6660786,0.7328313,1.3497493267059326,0.49147728085517883,0.5121937394142151,0.41299715638160706,0.45715758204460144
20,onehot,0,13,256,16,0.01,0,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.5364564211778743,0.76755714,0.82371694,0.6949345,0.753523,1.4016036987304688,0.4943181872367859,0.5161705017089844,0.4204545319080353,0.4633164405822754
20,onehot,0,14,256,16,0.01,0,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.509025852846843,0.78078794,0.83875215,0.71459174,0.7714381,1.4897851943969727,0.4900568127632141,0.5055049061775208,0.4318181872367859,0.4656829535961151
20,onehot,0,15,256,16,0.01,0,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.48147417524809477,0.7919187,0.8458045,0.7311408,0.78406173,1.5729509592056274,0.4943181872367859,0.5172361135482788,0.4350142180919647,0.472500205039978
20,onehot,0,16,256,16,0.01,0,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.45755758977705435,0.8030494,0.8546648,0.7449177,0.7957703,1.63527250289917,0.48117896914482117,0.4924177825450897,0.4272017180919647,0.4574545919895172
20,onehot,0,17,256,16,0.01,0,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.43195964668386727,0.8178343,0.8634768,0.76604503,0.8116228,1.6770081520080566,0.4847301244735718,0.5014844536781311,0.4105113744735718,0.45138028264045715
20,onehot,0,18,256,16,0.01,0,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.4032938441922588,0.827915,0.87485546,0.78104,0.82492894,1.7204596996307373,0.4786931872367859,0.49738723039627075,0.4375,0.4654984474182129
20,onehot,0,19,256,16,0.01,0,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.3954755529280632,0.8310652,0.8762425,0.7858283,0.82838374,1.878478765487671,0.4904119372367859,0.49992695450782776,0.44247159361839294,0.4693974554538727
20,onehot,0,20,256,16,0.01,0,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.37375904090942874,0.843498,0.8828397,0.8024614,0.84058493,1.9684553146362305,0.4825994372367859,0.49062588810920715,0.43359375,0.46031808853149414
